이름, 몸무게, 키, BMI, 결과
은경,  71,  169, 24.859073561850074, 정상 체중
상채,  71,  151, 31.138985132231042, 과체중
섭예,  85,  178, 26.827420780204516, 과체중
경건,  50,  168, 17.715419501133788, 저체중
섭예,  57,  195, 14.990138067061144, 저체중
수경,  85,  194, 22.584759273036454, 정상 체중
경욱,  42,  177, 13.406109355549171, 저체중
은은,  88,  194, 23.381868423849507, 정상 체중
진민,  92,  196, 23.94835485214494, 정상 체중
채진,  64,  193, 17.181669306558565, 저체중
철채,  54,  197, 13.914298229792058, 저체중
채섭,  71,  166, 25.765713456234575, 과체중
예수,  56,  196, 14.577259475218659, 저체중
경수,  53,  188, 14.995473064735176, 저체중
경은,  84,  150, 37.333333333333336, 과체중
은은,  83,  182, 25.05736022219539, 과체중
민철,  96,  165, 35.26170798898072, 과체중
경경,  76,  169, 26.609712545078956, 과체중
상민,  88,  196, 22.907122032486466, 정상 체중
민철,  97,  190, 26.869806094182827, 과체중
예상,  57,  190, 15.789473684210526, 저체중
철수,  65,  167, 23.306680053067517, 정상 체중
은상,  97,  182, 29.283902910276538, 과체중
수진,  98,  151, 42.98057102758651, 과체중
진수,  70,  192, 18.98871527777778, 정상 체중
욱진,  41,  186, 11.85108104983235, 저체중
욱진,  78,  184, 23.03875236294896, 정상 체중
예진,  51,  159, 20.173252640322772, 정상 체중
상채,  91,  182, 27.472527472527474, 과체중
상수,  68,  163, 25.593737061989536, 과체중
진수,  62,  182, 18.717546190073662, 정상 체중
진채,  81,  182, 24.453568409612366, 정상 체중
상은,  80,  165, 29.38475665748393, 과체중
건채,  56,  191, 15.350456401962665, 저체중
채섭,  96,  188, 27.16161158895428, 과체중
민민,  86,  197, 22.159808291891057, 정상 체중
상수,  93,  161, 35.8782454380618, 과체중
수채,  65,  175, 21.224489795918366, 정상 체중
철건,  87,  171, 29.752744434184876, 과체중
민상,  92,  164, 34.20582986317668, 과체중
진민,  50,  168, 17.715419501133788, 저체중
예수,  95,  170, 32.871972318339104, 과체중
섭진,  45,  161, 17.360441340997646, 저체중
경예,  51,  183, 15.22888112514557, 저체중
철경,  68,  179, 21.222808276895226, 정상 체중
수철,  93,  186, 26.881720430107528, 과체중
수욱,  62,  150, 27.555555555555554, 과체중
진수,  43,  188, 12.166138524219106, 저체중
은채,  48,  155, 19.979188345473467, 정상 체중
욱민,  87,  181, 26.555965935105768, 과체중
경진,  44,  174, 14.532963403355794, 저체중
섭진,  96,  181, 29.303134824944294, 과체중
상건,  82,  153, 35.02926224956213, 과체중
예경,  45,  194, 11.95663726219577, 저체중
철섭,  83,  181, 25.33500198406642, 과체중
섭채,  85,  157, 34.484157572315304, 과체중
수철,  63,  158, 25.23634033007531, 과체중
욱예,  79,  153, 33.74770387457816, 과체중
예철,  67,  156, 27.531229454306377, 과체중
진수,  85,  188, 24.0493435943866, 정상 체중
철욱,  84,  172, 28.393726338561383, 과체중
건민,  51,  174, 16.84502576298058, 저체중
은건,  79,  169, 27.66009593501628, 과체중
예은,  58,  182, 17.509962564907617, 저체중
철수,  41,  157, 16.633534828999146, 저체중
건건,  97,  181, 29.60837581270413, 과체중
예민,  69,  167, 24.74093728710244, 정상 체중
수진,  80,  168, 28.34467120181406, 과체중
진민,  90,  169, 31.511501698119815, 과체중
경예,  43,  157, 17.444926771877153, 저체중
욱예,  93,  182, 28.076319285110493, 과체중
은철,  67,  185, 19.576333089846603, 정상 체중
섭진,  89,  171, 30.43671557060292, 과체중
섭상,  47,  193, 12.617788397003945, 저체중
수수,  74,  174, 24.441802087462015, 정상 체중
민건,  61,  157, 24.74745425777922, 정상 체중
경은,  55,  196, 14.31695127030404, 저체중
수건,  98,  173, 32.7441611814628, 과체중
은예,  52,  190, 14.404432132963988, 저체중
섭민,  48,  184, 14.177693761814746, 저체중
건은,  82,  159, 32.435425813852305, 과체중
욱은,  44,  174, 14.532963403355794, 저체중
경철,  55,  192, 14.91970486111111, 저체중
욱진,  56,  154, 23.612750885478157, 정상 체중
민예,  62,  185, 18.115412710007305, 저체중
상철,  90,  150, 40.0, 과체중
상민,  74,  181, 22.587833094227893, 정상 체중
수민,  93,  189, 26.035105400184765, 과체중
경건,  82,  153, 35.02926224956213, 과체중
상수,  48,  166, 17.419073885905064, 저체중
채채,  82,  190, 22.71468144044321, 정상 체중
민욱,  70,  184, 20.6758034026465, 정상 체중
철예,  61,  157, 24.74745425777922, 정상 체중
민섭,  59,  189, 16.51689482377313, 저체중
수경,  56,  169, 19.60715661216344, 정상 체중
채경,  51,  177, 16.278847074595422, 저체중
철은,  54,  189, 15.117157974300833, 저체중
진경,  55,  170, 19.031141868512112, 정상 체중
예채,  93,  168, 32.95068027210885, 과체중
민경,  56,  173, 18.710949246550168, 정상 체중
채욱,  82,  174, 27.084159069890344, 과체중
진채,  79,  158, 31.645569620253163, 과체중
채욱,  71,  172, 23.99945916711736, 정상 체중
경진,  98,  194, 26.038898926559675, 과체중
채상,  69,  170, 23.875432525951556, 정상 체중
예예,  93,  155, 38.70967741935484, 과체중
건채,  70,  172, 23.66143861546782, 정상 체중
섭욱,  55,  179, 17.16550669454761, 저체중
진욱,  92,  180, 28.39506172839506, 과체중
경민,  98,  160, 38.28125, 과체중
경욱,  72,  179, 22.47120876377142, 정상 체중
상상,  99,  198, 25.252525252525256, 과체중
진채,  49,  162, 18.67093430879439, 정상 체중
경예,  50,  170, 17.301038062283737, 저체중
경욱,  47,  163, 17.68978885166924, 저체중
수채,  98,  195, 25.77251808021039, 과체중
건욱,  86,  199, 21.716623317592987, 정상 체중
은진,  61,  185, 17.823228634039445, 저체중
경건,  43,  170, 14.878892733564014, 저체중
예진,  57,  168, 20.19557823129252, 정상 체중
철건,  70,  165, 25.711662075298438, 과체중
예섭,  55,  195, 14.464168310322156, 저체중
민욱,  43,  198, 10.96826854402612, 저체중
건경,  50,  197, 12.883609472029683, 저체중
채진,  89,  161, 34.33509509663979, 과체중
채건,  73,  178, 23.04002019946976, 정상 체중
은민,  49,  193, 13.154715562833902, 저체중
진진,  61,  176, 19.692665289256198, 정상 체중
수건,  82,  154, 34.57581379659302, 과체중
채예,  79,  194, 20.99054097141035, 정상 체중
건욱,  59,  161, 22.761467535974692, 정상 체중
철진,  86,  168, 30.470521541950117, 과체중
채건,  45,  199, 11.363349410368425, 저체중
진수,  79,  174, 26.093275201479717, 과체중
건예,  66,  198, 16.835016835016834, 저체중
욱은,  41,  162, 15.62261850327694, 저체중
은섭,  85,  179, 26.528510346119035, 과체중
민채,  41,  198, 10.45811651872258, 저체중
진수,  47,  154, 19.81784449316917, 정상 체중
건진,  63,  183, 18.812147272238647, 정상 체중
철경,  72,  179, 22.47120876377142, 정상 체중
예욱,  97,  161, 37.42139577948382, 과체중
욱진,  89,  171, 30.43671557060292, 과체중
경섭,  66,  171, 22.571047501795423, 정상 체중
진섭,  78,  198, 19.895928986838076, 정상 체중
채민,  85,  193, 22.819404547773097, 정상 체중
수진,  60,  180, 18.51851851851852, 정상 체중
진진,  42,  192, 11.393229166666668, 저체중
진욱,  43,  199, 10.858311658796493, 저체중
경채,  52,  183, 15.527486637403328, 저체중
상은,  41,  171, 14.021408296569886, 저체중
은민,  71,  164, 26.39797739440809, 과체중
예욱,  43,  165, 15.794306703397613, 저체중
건수,  59,  152, 25.536703601108034, 과체중
진수,  41,  153, 17.514631124781065, 저체중
욱섭,  85,  189, 23.795526441029086, 정상 체중
섭예,  55,  178, 17.35891932836763, 저체중
철상,  92,  155, 38.293444328824144, 과체중
섭진,  97,  175, 31.6734693877551, 과체중
건예,  94,  156, 38.62590401051939, 과체중
진철,  59,  164, 21.936347412254612, 정상 체중
철경,  58,  176, 18.72417355371901, 정상 체중
섭욱,  65,  151, 28.507521599929827, 과체중
은은,  61,  164, 22.67995240928019, 정상 체중
상진,  42,  187, 12.010637993651521, 저체중
철욱,  92,  185, 26.880934989043098, 과체중
진진,  57,  156, 23.422090729783037, 정상 체중
건섭,  45,  164, 16.73111243307555, 저체중
섭은,  43,  191, 11.786957594364189, 저체중
경은,  45,  150, 20.0, 정상 체중
욱경,  58,  189, 16.23694745387867, 저체중
민철,  97,  169, 33.96239627464024, 과체중
수예,  43,  151, 18.858821981492042, 정상 체중
철진,  86,  177, 27.450604870886398, 과체중
욱욱,  84,  197, 21.64446391300987, 정상 체중
채민,  85,  179, 26.528510346119035, 과체중
은상,  89,  183, 26.57589059094031, 과체중
상상,  95,  181, 28.997893837184456, 과체중
욱진,  81,  171, 27.700831024930746, 과체중
경건,  46,  176, 14.850206611570249, 저체중
예예,  44,  171, 15.04736500119695, 저체중
은민,  84,  156, 34.51676528599605, 과체중
욱채,  85,  169, 29.760862714890937, 과체중
건은,  78,  190, 21.606648199445985, 정상 체중
예민,  77,  166, 27.94309769197271, 과체중
수예,  75,  194, 19.927728770326283, 정상 체중
상예,  47,  166, 17.056176513282043, 저체중
은수,  95,  155, 39.54214360041623, 과체중
상섭,  82,  170, 28.37370242214533, 과체중
수경,  69,  159, 27.293224160436694, 과체중
은예,  47,  159, 18.591036746964125, 정상 체중
섭예,  44,  188, 12.44907197827071, 저체중
예은,  42,  199, 10.60579278301053, 저체중
상건,  40,  164, 14.8720999405116, 저체중
건예,  50,  157, 20.284798571950184, 정상 체중
채채,  85,  189, 23.795526441029086, 정상 체중
건예,  89,  170, 30.79584775086505, 과체중
수민,  82,  192, 22.24392361111111, 정상 체중
은은,  95,  161, 36.64982060877281, 과체중
철건,  98,  183, 29.263340201260117, 과체중
철건,  99,  177, 31.60011490950876, 과체중
경민,  50,  184, 14.76843100189036, 저체중
수채,  94,  198, 23.9771451892664, 정상 체중
섭예,  80,  152, 34.62603878116344, 과체중
채경,  45,  172, 15.210924824229314, 저체중
은섭,  57,  150, 25.333333333333332, 과체중
철상,  48,  178, 15.149602322939023, 저체중
경진,  71,  173, 23.722810651876106, 정상 체중
예상,  95,  191, 26.040952824758094, 과체중
채은,  45,  165, 16.52892561983471, 저체중
채철,  54,  179, 16.853406572828565, 저체중
진욱,  63,  180, 19.444444444444443, 정상 체중
욱민,  43,  183, 12.84003702708352, 저체중
욱건,  46,  176, 14.850206611570249, 저체중
경욱,  88,  178, 27.774270925388212, 과체중
수경,  43,  174, 14.202668780552251, 저체중
욱진,  88,  196, 22.907122032486466, 정상 체중
민건,  50,  164, 18.5901249256395, 정상 체중
섭욱,  49,  154, 20.66115702479339, 정상 체중
건민,  65,  181, 19.840664204389366, 정상 체중
상욱,  92,  173, 30.73941661933242, 과체중
상욱,  84,  196, 21.865889212827987, 정상 체중
민민,  43,  161, 16.58886617028664, 저체중
건은,  89,  185, 26.004382761139517, 과체중
철건,  99,  188, 28.0104119511091, 과체중
경상,  47,  153, 20.07774787474903, 정상 체중
진욱,  73,  151, 32.01613964299811, 과체중
상수,  75,  167, 26.89232313815483, 과체중
예민,  87,  198, 22.19161310070401, 정상 체중
은예,  89,  191, 24.396261067404954, 정상 체중
수욱,  45,  184, 13.291587901701321, 저체중
수건,  49,  157, 19.879102600511178, 정상 체중
채진,  70,  153, 29.903028749626213, 과체중
철은,  94,  154, 39.63568898633834, 과체중
경욱,  89,  168, 31.53344671201814, 과체중
건욱,  90,  154, 37.949063923089895, 과체중
건경,  94,  150, 41.77777777777778, 과체중
건욱,  75,  173, 25.05930702662969, 과체중
경수,  90,  185, 26.29656683710738, 과체중
건철,  80,  158, 32.04614645088928, 과체중
은채,  79,  187, 22.591438130915954, 정상 체중
진상,  57,  165, 20.9366391184573, 정상 체중
채섭,  51,  154, 21.504469556417607, 정상 체중
섭수,  46,  170, 15.916955017301039, 저체중
섭수,  63,  188, 17.824807605251245, 저체중
민욱,  73,  160, 28.515625, 과체중
민상,  50,  169, 17.506389832288786, 저체중
철민,  93,  180, 28.703703703703702, 과체중
진민,  90,  173, 30.071168431955627, 과체중
민예,  85,  158, 34.04903060406986, 과체중
민수,  79,  177, 25.216253311628204, 과체중
경경,  47,  166, 17.056176513282043, 저체중
채진,  86,  167, 30.83653053175087, 과체중
채수,  93,  198, 23.72206917661463, 정상 체중
은욱,  60,  179, 18.726007303142847, 정상 체중
상상,  55,  175, 17.959183673469386, 저체중
철은,  88,  197, 22.675152670772246, 정상 체중
상진,  78,  154, 32.889188733344575, 과체중
예섭,  55,  177, 17.555619394171536, 저체중
섭욱,  69,  156, 28.353057199211047, 과체중
채진,  97,  157, 39.352509229583355, 과체중
건진,  53,  175, 17.306122448979593, 저체중
경진,  44,  152, 19.04432132963989, 정상 체중
은예,  87,  188, 24.615210502489816, 정상 체중
철건,  97,  195, 25.509533201840892, 과체중
채섭,  72,  156, 29.585798816568047, 과체중
민민,  81,  190, 22.437673130193907, 정상 체중
경건,  81,  172, 27.379664683612766, 과체중
철은,  48,  158, 19.22768787053357, 정상 체중
욱예,  88,  180, 27.160493827160494, 과체중
진욱,  89,  191, 24.396261067404954, 정상 체중
철상,  67,  197, 17.264036692519777, 저체중
건상,  85,  166, 30.846276672956886, 과체중
수섭,  96,  154, 40.47900151796255, 과체중
욱섭,  54,  186, 15.608740894901144, 저체중
상철,  87,  158, 34.850184265342094, 과체중
채상,  95,  177, 30.32334258993265, 과체중
은경,  62,  199, 15.65617029872983, 저체중
민상,  96,  192, 26.041666666666664, 과체중
민경,  70,  175, 22.857142857142858, 정상 체중
수건,  57,  159, 22.546576480360745, 정상 체중
예진,  70,  195, 18.408941485864563, 저체중
은건,  64,  188, 18.107741059302853, 저체중
수진,  73,  197, 18.81006982916334, 정상 체중
수수,  56,  192, 15.190972222222223, 저체중
상섭,  66,  173, 22.052190183434128, 정상 체중
예경,  96,  152, 41.551246537396125, 과체중
채은,  47,  161, 18.132016511708652, 저체중
진채,  40,  197, 10.306887577623746, 저체중
은예,  67,  151, 29.384676110696898, 과체중
은수,  74,  194, 19.662025720055265, 정상 체중
예예,  79,  176, 25.50361570247934, 과체중
예은,  48,  174, 15.854141894569958, 저체중
진민,  72,  196, 18.74219075385256, 정상 체중
수채,  86,  182, 25.963047941069917, 과체중
욱은,  54,  198, 13.774104683195592, 저체중
욱예,  47,  152, 20.34279778393352, 정상 체중
철민,  40,  157, 16.227838857560144, 저체중
수은,  61,  169, 21.357795595392318, 정상 체중
은건,  56,  197, 14.429642608673246, 저체중
채수,  41,  181, 12.514880498153293, 저체중
경은,  72,  191, 19.736301088237713, 정상 체중
은채,  50,  177, 15.959653994701394, 저체중
경채,  71,  151, 31.138985132231042, 과체중
상철,  98,  166, 35.56394251705618, 과체중
은섭,  92,  191, 25.218606946081522, 과체중
철은,  52,  195, 13.675213675213675, 저체중
채채,  64,  198, 16.324864809713294, 저체중
경진,  98,  178, 30.930438076000502, 과체중
경건,  70,  183, 20.902385858042937, 정상 체중
섭섭,  91,  161, 35.1066702673508, 과체중
은은,  90,  162, 34.293552812071326, 과체중
예건,  73,  154, 30.78090740428403, 과체중
수상,  50,  150, 22.22222222222222, 정상 체중
건철,  82,  159, 32.435425813852305, 과체중
철상,  48,  164, 17.84651992861392, 저체중
진철,  78,  179, 24.343809494085704, 정상 체중
철섭,  68,  159, 26.89767018709703, 과체중
섭수,  67,  172, 22.6473769605192, 정상 체중
민진,  61,  183, 18.214936247723134, 저체중
섭진,  53,  158, 21.23057202371415, 정상 체중
섭예,  77,  152, 33.3275623268698, 과체중
건상,  83,  175, 27.102040816326532, 과체중
욱경,  78,  155, 32.46618106139438, 과체중
진상,  85,  162, 32.38835543362293, 과체중
채진,  73,  190, 20.221606648199447, 정상 체중
수철,  66,  160, 25.78125, 과체중
민민,  51,  171, 17.4412639786601, 저체중
경욱,  47,  194, 12.488043362737804, 저체중
건경,  91,  178, 28.7211210705719, 과체중
은예,  74,  177, 23.620287912158062, 정상 체중
욱욱,  65,  151, 28.507521599929827, 과체중
철진,  92,  165, 33.79247015610652, 과체중
진철,  86,  177, 27.450604870886398, 과체중
민경,  72,  166, 26.1286108288576, 과체중
철건,  64,  159, 25.315454293738384, 과체중
철은,  81,  180, 25.0, 과체중
욱수,  54,  199, 13.636019292442109, 저체중
진건,  78,  165, 28.65013774104683, 과체중
욱욱,  82,  193, 22.014013799028163, 정상 체중
진경,  88,  182, 26.566839753652943, 과체중
경철,  99,  197, 25.50954675461877, 과체중
은철,  84,  162, 32.00731595793324, 과체중
진상,  43,  162, 16.3846974546563, 저체중
상수,  78,  191, 21.380992845590857, 정상 체중
욱건,  51,  181, 15.567290375751655, 저체중
은수,  46,  181, 14.041085436952473, 저체중
예상,  92,  157, 37.32402937238833, 과체중
예욱,  67,  189, 18.75647378292881, 정상 체중
민상,  72,  187, 20.589665131974037, 정상 체중
수욱,  81,  195, 21.301775147928993, 정상 체중
진진,  74,  158, 29.642685467072585, 과체중
철욱,  64,  183, 19.110752784496402, 정상 체중
욱수,  48,  158, 19.22768787053357, 정상 체중
진건,  64,  190, 17.728531855955676, 저체중
예욱,  89,  176, 28.731921487603305, 과체중
욱은,  79,  150, 35.111111111111114, 과체중
욱은,  53,  199, 13.383500416656144, 저체중
은상,  70,  162, 26.6727632982777, 과체중
경섭,  91,  180, 28.08641975308642, 과체중
욱은,  58,  160, 22.65625, 정상 체중
예채,  95,  179, 29.649511563309513, 과체중
진민,  78,  168, 27.63605442176871, 과체중
경경,  47,  166, 17.056176513282043, 저체중
채채,  72,  196, 18.74219075385256, 정상 체중
건건,  43,  189, 12.037736905461774, 저체중
진건,  68,  162, 25.91068434689834, 과체중
은수,  67,  191, 18.36572462377676, 저체중
민욱,  47,  158, 18.827111039897453, 정상 체중
수은,  81,  168, 28.698979591836736, 과체중
민건,  83,  162, 31.62627648224356, 과체중
민예,  80,  181, 24.419279020786913, 정상 체중
욱진,  55,  161, 21.21831719455268, 정상 체중
채섭,  76,  195, 19.986850756081527, 정상 체중
은민,  47,  195, 12.360289283366207, 저체중
은진,  95,  183, 28.367523664486843, 과체중
섭진,  71,  168, 25.155895691609977, 과체중
건예,  62,  197, 15.975675745316808, 저체중
욱섭,  76,  153, 32.46614549959418, 과체중
진철,  49,  150, 21.777777777777775, 정상 체중
상상,  43,  184, 12.700850661625708, 저체중
욱섭,  59,  196, 15.358184089962515, 저체중
수은,  75,  191, 20.55864696691428, 정상 체중
수상,  41,  167, 14.701136648857974, 저체중
수은,  66,  157, 26.775934114974238, 과체중
진민,  89,  198, 22.701765126007547, 정상 체중
상섭,  45,  163, 16.93703187925778, 저체중
상은,  79,  161, 30.477219243084757, 과체중
섭진,  69,  158, 27.639801313892004, 과체중
경섭,  44,  167, 15.776829574384164, 저체중
수상,  66,  152, 28.566481994459835, 과체중
건건,  94,  156, 38.62590401051939, 과체중
채섭,  97,  191, 26.589183410542475, 과체중
상민,  99,  194, 26.304601976830693, 과체중
욱민,  63,  160, 24.609375, 정상 체중
상상,  88,  180, 27.160493827160494, 과체중
민욱,  63,  191, 17.269263452207998, 저체중
채진,  44,  157, 17.85062274331616, 저체중
진채,  47,  182, 14.189107595701001, 저체중
채진,  78,  182, 23.54788069073783, 정상 체중
철철,  52,  162, 19.814052735863434, 정상 체중
욱섭,  81,  185, 23.666910153396643, 정상 체중
섭은,  51,  157, 20.690494543389185, 정상 체중
진수,  48,  162, 18.289894833104707, 저체중
진건,  79,  164, 29.37239738251041, 과체중
상민,  84,  162, 32.00731595793324, 과체중
민철,  76,  175, 24.816326530612244, 정상 체중
철욱,  75,  167, 26.89232313815483, 과체중
상건,  48,  156, 19.723865877712033, 정상 체중
경상,  63,  173, 21.04981790236894, 정상 체중
민철,  52,  168, 18.424036281179138, 저체중
수철,  43,  166, 15.604587022789953, 저체중
욱상,  46,  160, 17.96875, 저체중
채철,  59,  174, 19.487382745408905, 정상 체중
예철,  72,  175, 23.510204081632654, 정상 체중
경민,  53,  168, 18.778344671201815, 정상 체중
건경,  46,  177, 14.682881675125282, 저체중
철철,  40,  194, 10.628122010840684, 저체중
채상,  78,  192, 21.158854166666664, 정상 체중
섭철,  55,  174, 18.166204254194742, 저체중
철수,  49,  173, 16.3720805907314, 저체중
상진,  63,  151, 27.630367089162753, 과체중
진은,  97,  151, 42.54199377220298, 과체중
섭섭,  77,  168, 27.28174603174603, 과체중
예수,  92,  151, 40.349107495285295, 과체중
진경,  88,  191, 24.12214577451276, 정상 체중
민상,  58,  186, 16.76494392415308, 저체중
욱경,  56,  175, 18.285714285714285, 저체중
욱예,  73,  190, 20.221606648199447, 정상 체중
철상,  99,  177, 31.60011490950876, 과체중
은욱,  90,  194, 23.91327452439154, 정상 체중
섭욱,  99,  173, 33.078285275151195, 과체중
채예,  52,  155, 21.64412070759625, 정상 체중
건채,  72,  177, 22.98190175237001, 정상 체중
은채,  70,  153, 29.903028749626213, 과체중
진민,  78,  170, 26.98961937716263, 과체중
상건,  44,  152, 19.04432132963989, 정상 체중
은건,  58,  188, 16.410140334993212, 저체중
철건,  84,  184, 24.8109640831758, 정상 체중
수은,  49,  159, 19.382144693643447, 정상 체중
건철,  61,  181, 18.61970025335002, 정상 체중
수상,  60,  164, 22.3081499107674, 정상 체중
진건,  93,  167, 33.34648069131199, 과체중
철예,  88,  177, 28.088991030674453, 과체중
예상,  66,  187, 18.87385970430953, 정상 체중
예섭,  52,  182, 15.698587127158557, 저체중
경욱,  65,  158, 26.037493991347542, 과체중
채경,  45,  160, 17.578125, 저체중
채욱,  95,  186, 27.459821944733495, 과체중
진욱,  77,  182, 23.24598478444632, 정상 체중
철은,  70,  198, 17.855320885623915, 저체중
상민,  99,  190, 27.423822714681442, 과체중
예욱,  77,  178, 24.302487059714682, 정상 체중
철은,  71,  158, 28.440954975164235, 과체중
수은,  77,  197, 19.840758586925713, 정상 체중
진섭,  82,  196, 21.34527280299875, 정상 체중
철예,  92,  160, 35.9375, 과체중
수수,  91,  169, 31.861629494765587, 과체중
민건,  56,  197, 14.429642608673246, 저체중
진민,  63,  194, 16.73929216707408, 저체중
채상,  56,  165, 20.56932966023875, 정상 체중
수건,  79,  186, 22.835009827725752, 정상 체중
수수,  92,  173, 30.73941661933242, 과체중
민경,  76,  187, 21.733535417083704, 정상 체중
민섭,  72,  180, 22.22222222222222, 정상 체중
철채,  62,  170, 21.453287197231834, 정상 체중
수채,  41,  184, 12.110113421550095, 저체중
진철,  47,  193, 12.617788397003945, 저체중
상채,  63,  172, 21.295294753921038, 정상 체중
민상,  97,  159, 38.368735413947235, 과체중
경채,  88,  195, 23.14266929651545, 정상 체중
민수,  61,  173, 20.38156971499215, 정상 체중
민철,  48,  181, 14.651567412472147, 저체중
채민,  50,  177, 15.959653994701394, 저체중
채채,  45,  175, 14.693877551020407, 저체중
수섭,  88,  193, 23.624795296518027, 정상 체중
채진,  70,  176, 22.598140495867767, 정상 체중
은욱,  90,  152, 38.95429362880886, 과체중
경섭,  57,  190, 15.789473684210526, 저체중
